date,pm25,pm10,no2,so2,co,o3
2017-04-11,135.952,190.277,20.367,15.474,959.432,69.331
2017-04-12,173.367,243.583,24.141,19.253,1382.014,72.344
2017-04-13,130.555,183.051,25.740,15.002,1128.433,94.929
2017-04-14,122.386,171.187,26.520,14.516,995.858,73.919
2017-04-15,124.435,172.118,20.457,10.919,633.620,65.389
2017-04-16,67.707,94.573,17.646,9.801,563.074,54.910
2017-04-17,100.897,141.835,23.928,14.845,1185.566,77.841
2017-04-18,89.512,125.538,16.090,10.214,618.571,70.061
2017-04-19,49.934,68.952,8.701,5.269,338.208,75.878
2017-04-20,61.322,84.891,11.983,6.563,399.206,65.672
2017-04-21,51.832,70.989,10.421,5.464,343.664,62.488
2017-04-22,70.907,96.569,10.630,5.723,327.857,62.716
2017-04-23,58.441,80.975,10.551,4.424,370.138,72.035
2017-04-24,49.522,68.530,8.280,4.785,309.303,70.059
2017-04-25,54.691,76.004,8.575,5.346,295.744,66.400
2017-04-26,46.659,64.919,7.089,4.799,281.495,72.595
2017-04-27,60.707,83.679,9.834,6.082,317.933,67.229
2017-04-28,74.049,100.714,12.724,7.355,382.416,64.717
2017-04-29,71.256,96.890,13.639,7.587,398.106,63.906
2017-04-30,89.805,121.277,14.209,7.816,416.623,61.319
2017-05-01,69.062,94.390,14.479,7.997,462.954,62.678
2017-05-02,83.426,115.965,23.931,11.379,731.292,63.355
2017-05-03,123.118,169.982,25.953,13.022,856.185,66.847
2017-05-04,91.302,124.763,22.265,9.458,566.664,68.780
2017-05-05,87.502,119.484,15.395,8.018,461.920,60.504
2017-05-06,50.425,68.766,12.733,6.311,265.884,54.043
2017-05-07,78.308,107.287,16.218,7.902,362.546,50.974
2017-05-08,66.053,91.446,20.319,8.379,428.136,59.869
2017-05-09,96.920,133.802,24.899,10.329,538.018,42.693
2017-05-10,79.064,110.088,23.669,10.248,713.352,53.535
2017-05-11,96.470,134.634,25.355,11.077,698.551,67.227
2017-05-12,72.283,101.062,16.321,8.376,553.477,78.080
2017-05-13,78.889,110.026,19.814,8.831,519.365,79.639
2017-05-14,65.900,91.663,14.727,5.980,376.596,78.928
2017-05-15,55.474,76.556,12.688,5.405,312.143,65.324
2017-05-16,44.699,62.293,12.215,5.684,330.702,64.762
2017-05-17,69.437,96.810,17.275,6.506,424.274,64.197
2017-05-18,67.708,93.721,16.270,7.114,490.388,73.517
2017-05-19,61.858,84.556,18.785,7.193,388.688,64.598
2017-05-20,82.820,111.454,11.965,6.309,336.549,71.599
2017-05-21,80.117,108.217,16.788,7.494,430.924,72.020
2017-05-22,63.166,85.756,15.507,6.710,374.762,66.977
2017-05-23,82.840,112.466,19.047,7.939,397.978,60.819
2017-05-24,89.041,120.649,18.659,7.806,391.976,64.768
2017-05-25,71.763,97.601,19.384,7.865,385.929,55.799
2017-05-26,78.848,107.265,21.215,8.370,427.724,50.629
2017-05-27,72.528,99.845,24.266,9.054,543.519,62.935
2017-05-28,81.241,111.459,25.303,8.575,502.771,69.517
2017-05-29,48.385,67.287,11.259,6.773,541.594,68.573
2017-05-30,30.850,43.037,13.254,5.797,342.439,43.209
2017-05-31,65.644,90.293,11.645,5.688,353.893,85.119
2017-06-01,54.420,74.063,10.741,4.811,219.796,55.606
2017-06-02,51.015,69.658,8.984,4.505,191.206,52.456
2017-06-03,46.619,63.546,9.766,5.042,215.219,58.669
2017-06-04,54.019,74.340,9.523,4.785,194.251,47.843
2017-06-05,59.176,81.768,16.017,5.991,259.457,39.285
2017-06-06,63.880,89.048,20.502,8.902,493.893,50.353
2017-06-07,64.899,90.423,20.778,8.381,544.784,60.683
2017-06-08,67.828,93.866,22.502,7.523,397.098,63.533
2017-06-09,52.455,73.013,22.430,7.562,375.933,52.392
2017-06-10,42.972,59.951,19.869,7.016,377.573,59.308
2017-06-11,31.609,44.190,8.573,3.741,257.777,52.595
2017-06-12,27.786,38.862,10.948,4.777,268.385,41.867
2017-06-13,52.316,72.676,13.270,5.712,353.983,68.343
2017-06-14,48.026,66.819,11.011,4.884,219.790,58.319
2017-06-15,29.815,42.002,11.384,4.846,198.144,46.076
2017-06-16,31.490,43.855,11.150,4.562,269.664,62.862
2017-06-17,58.335,79.363,9.806,4.962,277.760,81.463
2017-06-18,48.457,67.502,11.917,4.906,244.036,61.007
2017-06-19,46.762,64.935,11.173,5.030,220.123,56.000
2017-06-20,38.345,53.113,17.084,5.821,273.633,51.221
2017-06-21,45.614,62.430,14.714,5.248,282.877,61.662
2017-06-22,48.473,65.976,14.057,6.040,270.857,56.311
2017-06-23,52.839,72.701,17.360,6.849,304.925,55.103
2017-06-24,30.853,42.618,11.769,5.297,226.363,56.704
2017-06-25,32.190,45.395,11.459,5.296,203.138,50.086
2017-06-26,32.394,45.707,9.648,4.788,180.852,55.806
2017-06-27,33.801,47.124,13.004,5.752,197.414,44.962
2017-06-28,30.193,42.056,11.842,5.551,193.471,45.243
2017-06-29,31.893,44.158,10.584,5.061,182.456,44.113
2017-06-30,23.609,33.018,9.247,4.455,177.426,52.596
2017-07-01,26.985,38.581,7.983,3.944,155.815,48.903
2017-07-02,26.343,37.462,9.904,4.607,184.216,55.500
2017-07-03,34.594,47.874,12.290,5.412,243.105,55.854
2017-07-04,35.641,49.423,12.941,5.772,247.834,59.105
2017-07-05,33.810,46.099,12.387,5.254,219.596,55.714
2017-07-06,28.010,38.310,15.081,5.903,224.554,48.113
2017-07-07,36.960,49.343,12.199,5.164,213.197,54.715
2017-07-08,44.499,58.678,9.636,4.615,180.280,49.576
2017-07-09,22.623,30.963,7.449,3.988,151.631,45.994
2017-07-10,34.715,46.698,8.292,3.988,160.778,50.669
2017-07-11,22.120,30.488,10.782,4.737,184.368,49.381
2017-07-12,26.532,36.557,14.705,5.794,206.720,40.288
2017-07-13,27.773,38.581,11.939,5.353,175.611,45.660
2017-07-14,30.319,41.619,14.016,5.947,196.014,39.914
2017-07-15,43.327,59.290,16.602,7.048,244.327,37.857
2017-07-16,28.147,38.996,18.526,7.279,264.789,43.831
2017-07-17,40.179,55.922,17.504,7.844,315.018,39.514
2017-07-18,25.978,36.443,9.992,4.735,196.042,47.491
2017-07-19,20.389,30.338,7.217,3.674,142.655,45.941
2017-07-20,21.245,31.508,8.369,3.769,144.145,43.590
2017-07-21,19.665,28.214,11.669,5.318,174.075,43.514
2017-07-22,19.549,27.916,9.791,4.987,172.821,47.240
2017-07-23,26.033,37.101,8.970,4.269,169.192,49.117
2017-07-24,29.639,42.356,8.413,3.811,150.983,43.235
2017-07-25,30.467,42.684,10.400,4.697,182.781,42.875
2017-07-26,34.625,48.215,13.414,5.672,212.375,46.700
2017-07-27,46.492,64.347,15.239,6.421,247.674,48.146
2017-07-28,76.398,103.265,17.183,6.846,272.737,50.032
2017-07-29,56.722,76.440,20.338,7.596,306.994,44.167
2017-07-30,55.330,74.708,20.087,6.443,254.014,53.445
2017-07-31,33.061,45.201,15.355,6.476,234.902,53.934
2017-08-01,47.751,64.980,15.020,6.355,276.049,53.819
2017-08-02,47.950,65.033,15.255,6.286,270.076,52.327
2017-08-03,46.197,62.894,17.304,6.277,295.524,49.249
2017-08-04,41.997,57.340,14.136,5.558,292.733,57.155
2017-08-05,41.830,55.880,14.192,5.982,247.485,42.192
2017-08-06,36.875,49.496,11.475,5.126,204.968,42.937
2017-08-07,32.484,45.363,14.155,5.895,210.647,29.152
2017-08-08,38.380,52.474,10.148,4.551,179.063,48.139
2017-08-09,33.960,46.644,9.340,4.239,165.119,46.487
2017-08-10,30.982,43.115,8.742,4.291,172.731,49.315
2017-08-11,50.583,68.526,12.199,5.544,239.936,45.587
2017-08-12,51.179,69.763,17.080,6.540,286.514,36.791
2017-08-13,40.287,55.111,14.332,5.524,248.402,40.996
2017-08-14,38.774,52.908,15.471,6.051,258.238,44.847
2017-08-15,66.146,89.497,14.866,6.194,312.239,54.515
2017-08-16,63.174,85.347,14.600,6.414,307.684,49.031
2017-08-17,46.124,62.403,14.902,6.132,276.240,51.762
2017-08-18,31.248,43.082,13.790,6.032,243.236,38.767
2017-08-19,39.633,55.653,16.040,6.677,254.645,38.797
2017-08-20,35.811,50.641,17.992,7.302,290.505,35.594
2017-08-21,40.752,57.350,19.271,8.208,355.593,37.676
2017-08-22,44.045,61.477,15.713,6.675,326.080,53.150
2017-08-23,39.059,54.410,19.593,7.032,298.126,45.859
2017-08-24,36.823,51.240,16.635,6.434,255.631,34.124
2017-08-25,49.990,68.855,15.195,6.682,272.908,37.929
2017-08-26,34.100,47.884,12.582,5.946,276.167,38.148
2017-08-27,37.243,52.816,14.965,6.424,269.125,42.371
2017-08-28,30.990,43.705,12.972,5.988,236.161,37.183
2017-08-29,45.582,63.769,15.197,6.714,252.710,34.361
2017-08-30,41.126,57.727,15.601,6.666,282.645,34.507
2017-08-31,46.027,64.627,16.935,6.886,303.997,34.183
2017-09-01,36.492,51.418,14.103,5.958,279.294,42.988
2017-09-02,50.137,70.181,16.023,6.974,365.902,57.117
2017-09-03,60.549,84.541,18.502,8.401,483.990,60.995
2017-09-04,72.673,100.566,13.685,7.922,401.096,71.236
2017-09-05,80.439,110.630,16.373,7.719,384.069,58.760
2017-09-06,82.319,113.104,16.608,7.772,397.208,56.126
2017-09-07,53.881,74.567,14.952,7.349,329.785,51.509
2017-09-08,43.580,60.818,11.602,6.233,290.593,47.836
2017-09-09,31.721,44.402,11.249,5.631,245.416,43.298
2017-09-10,37.669,52.699,14.783,6.574,255.253,31.665
2017-09-11,50.607,70.567,19.047,7.607,355.094,35.855
2017-09-12,49.385,68.966,17.379,6.845,348.017,38.371
2017-09-13,42.429,59.478,15.961,7.039,362.951,46.693
2017-09-14,53.889,75.435,20.259,7.943,427.149,54.256
2017-09-15,77.621,109.333,18.482,11.256,739.577,43.911
2017-09-16,71.243,100.397,25.189,10.091,701.246,68.094
2017-09-17,57.069,80.444,11.740,6.949,510.076,55.083
2017-09-18,43.900,61.947,18.116,8.091,420.243,36.693
2017-09-19,28.211,39.971,10.718,5.071,286.602,44.917
2017-09-20,38.226,53.980,13.619,6.749,319.950,43.681
2017-09-21,54.119,75.578,16.826,8.168,351.327,38.571
2017-09-22,67.483,94.260,20.593,9.926,470.430,35.088
2017-09-23,96.589,134.907,23.513,11.597,643.743,40.149
2017-09-24,91.001,127.398,27.984,11.916,665.755,52.481
2017-09-25,109.732,154.498,28.535,12.508,910.033,62.821
2017-09-26,95.061,133.214,25.020,10.798,756.723,58.842
2017-09-27,87.279,121.909,18.124,10.259,744.458,69.289
2017-09-28,68.136,95.338,16.438,7.283,583.134,61.584
2017-09-29,43.455,61.052,13.805,6.512,361.806,37.683
2017-09-30,59.183,83.122,18.131,9.219,414.969,30.663
2017-10-01,71.059,100.008,19.495,10.432,504.102,36.740
2017-10-02,54.414,76.744,16.564,10.517,522.379,41.695
2017-10-03,109.649,154.552,17.462,13.815,871.535,35.732
2017-10-04,91.948,129.724,22.142,12.473,920.360,50.393
2017-10-05,84.434,119.221,29.696,12.439,802.595,57.137
2017-10-06,75.499,106.666,22.262,11.311,739.965,70.899
2017-10-07,38.992,55.040,14.847,7.822,374.467,40.091
2017-10-08,29.080,41.088,9.579,5.895,256.260,39.167
2017-10-09,40.939,57.797,12.111,7.077,313.704,25.732
2017-10-10,99.764,140.794,18.389,15.458,866.388,34.943
2017-10-11,106.883,150.935,18.727,15.594,1061.156,41.149
2017-10-12,97.710,137.717,23.099,13.872,775.425,54.701
2017-10-13,62.803,88.577,15.408,11.395,491.405,44.168
2017-10-14,75.199,106.227,21.031,12.150,476.739,36.075
2017-10-15,125.839,177.631,24.712,16.454,929.392,47.714
2017-10-16,177.535,250.168,24.964,17.772,1335.384,59.274
2017-10-17,122.317,172.389,22.495,13.209,1035.183,74.775
2017-10-18,56.831,80.183,13.826,9.036,540.782,59.822
2017-10-19,54.007,76.239,16.840,9.222,479.159,28.112
2017-10-20,46.727,66.340,10.643,5.963,378.905,35.888
2017-10-21,44.508,63.224,11.773,7.370,428.560,37.706
2017-10-22,82.063,115.777,22.483,14.249,702.010,44.959
2017-10-23,91.337,128.944,18.589,14.071,821.352,85.739
2017-10-24,99.870,140.992,18.222,13.131,738.731,70.293
2017-10-25,154.861,218.459,22.675,20.610,1528.264,60.262
2017-10-26,123.636,174.260,32.559,17.042,1352.314,59.371
2017-10-27,134.854,189.443,31.652,15.647,1254.430,68.146
2017-10-28,176.220,247.830,22.774,21.764,1779.446,53.739
2017-10-29,137.413,193.058,25.013,15.432,1394.660,75.178
2017-10-30,123.675,173.735,24.848,16.193,908.315,50.924
2017-10-31,134.273,189.199,24.165,20.163,1351.973,49.830
2017-11-01,139.920,197.409,24.030,21.800,1561.149,49.169
2017-11-02,123.586,174.467,27.590,19.009,1340.371,54.244
2017-11-03,117.096,165.337,28.374,19.952,1259.512,49.124
2017-11-04,131.681,185.891,25.343,20.554,1291.615,40.371
2017-11-05,126.357,178.324,29.485,21.443,1336.922,46.776
2017-11-06,110.455,155.998,27.510,18.743,1120.945,56.774
2017-11-07,140.188,197.924,25.224,23.818,1406.934,48.166
2017-11-08,148.375,209.498,29.542,24.754,1609.463,49.916
2017-11-09,159.470,225.193,29.353,24.761,1687.139,48.605
2017-11-10,148.909,210.281,35.962,23.335,1560.256,50.753
2017-11-11,121.137,171.072,33.241,20.615,1165.946,59.014
2017-11-12,105.278,148.661,28.752,19.105,1040.283,67.111
2017-11-13,113.371,160.081,30.086,21.502,1084.151,57.525
2017-11-14,117.675,166.189,29.267,21.144,1082.550,48.426
2017-11-15,84.063,118.929,17.240,14.049,794.751,40.799
2017-11-16,85.709,121.133,19.553,14.405,695.491,26.638
2017-11-17,131.828,186.248,18.647,23.725,1165.592,27.696
2017-11-18,148.090,209.304,22.260,25.428,1415.968,41.390
2017-11-19,123.640,174.714,24.196,21.665,1240.314,57.149
2017-11-20,157.852,222.954,30.331,24.337,1612.378,59.932
2017-11-21,180.971,255.535,26.656,23.030,1565.309,77.192
2017-11-22,163.946,231.364,23.376,21.658,1343.971,75.131
2017-11-23,189.124,266.648,26.444,24.040,1539.048,60.564
2017-11-24,185.180,261.198,32.062,25.207,1652.473,56.592
2017-11-25,220.674,311.380,28.493,30.598,2096.661,48.544
2017-11-26,204.895,289.192,40.532,25.222,1878.198,52.447
2017-11-27,195.375,275.855,29.095,25.688,1761.193,58.399
2017-11-28,270.909,382.330,28.819,33.112,2701.118,56.701
2017-11-29,230.137,324.743,33.843,26.683,2644.271,55.379
2017-11-30,186.997,263.923,35.594,23.857,1726.975,51.059
2017-12-01,182.640,257.788,27.472,26.844,1907.347,46.444
2017-12-02,198.556,280.370,30.998,27.503,2235.246,44.576
2017-12-03,202.136,285.423,38.568,28.959,2373.412,51.908
2017-12-04,201.263,284.232,34.798,28.622,2291.882,46.470
2017-12-05,195.740,276.418,28.133,28.187,2204.510,42.645
2017-12-06,208.382,294.201,28.753,28.750,2298.880,41.432
2017-12-07,176.504,249.233,36.539,26.222,2147.450,50.085
2017-12-08,162.476,229.545,26.655,22.019,1766.989,47.244
2017-12-09,84.751,119.865,16.346,10.852,803.108,28.971
2017-12-10,62.157,88.067,13.927,9.833,536.837,26.393
2017-12-11,93.950,132.686,20.860,13.845,932.431,31.087
2017-12-12,155.028,218.974,35.597,22.246,1769.866,72.362
2017-12-13,271.052,382.816,27.800,28.755,2740.991,57.599
2017-12-14,234.007,330.448,44.306,25.509,2512.754,64.132
2017-12-15,210.120,296.461,40.437,23.720,2004.939,56.882
2017-12-16,209.521,295.536,38.773,22.677,1976.333,53.579
2017-12-17,215.376,303.834,33.982,20.545,2090.047,49.374
2017-12-18,165.662,233.818,30.373,17.122,1829.568,51.321
2017-12-19,193.432,273.090,39.744,19.882,1993.853,43.614
