year,tree_cover_loss_ha,geography,geographic_scope,metric,provider,data_publisher,source_url,original_dataset_url,source_version,source_sha256,retrieved_utc,analysis_role,definition_note
2013,6014.5215,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2014,12049.911,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2015,12599.232,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2016,21185.979,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2017,28363.57,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2018,19332.371,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2019,22071.691,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2020,21464.004,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2021,17576.906,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2022,13788.769,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2023,17769.94,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2024,15911.065,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
