year,total_population,urban_population,urban_share_pct,population_density_per_km2,geography,geographic_scope,estimate_basis,source,underlying_source,source_url,retrieved_utc,analysis_role,source_note
2010,152201981,46347089,30.5,1169,Bangladesh,national,mid-year estimate,Worldometer,United Nations World Population Prospects 2024 Revision,https://www.worldometers.info/world-population/bangladesh-population/,2026-08-06,descriptive_cross_check,"Worldometer presentation of UN data; historical table reports selected years rather than a complete annual series."
2015,159383179,55305132,34.7,1224,Bangladesh,national,mid-year estimate,Worldometer,United Nations World Population Prospects 2024 Revision,https://www.worldometers.info/world-population/bangladesh-population/,2026-08-06,descriptive_cross_check,"Worldometer presentation of UN data; urban estimates use the source's country-specific urban definition."
2020,166298024,64814953,39.0,1278,Bangladesh,national,mid-year estimate,Worldometer,United Nations World Population Prospects 2024 Revision,https://www.worldometers.info/world-population/bangladesh-population/,2026-08-06,descriptive_cross_check,"Worldometer presentation of UN data; the value is not a Dhaka-city population estimate."
2022,169384897,68791790,40.6,1301,Bangladesh,national,mid-year estimate,Worldometer,United Nations World Population Prospects 2024 Revision,https://www.worldometers.info/world-population/bangladesh-population/,2026-08-06,descriptive_cross_check,"Worldometer presentation of UN data; retained for source comparison only."
2023,171466990,70806614,41.3,1317,Bangladesh,national,mid-year estimate,Worldometer,United Nations World Population Prospects 2024 Revision,https://www.worldometers.info/world-population/bangladesh-population/,2026-08-06,descriptive_cross_check,"Worldometer presentation of UN data; retained for source comparison only."
2024,173562364,72825128,42.0,1333,Bangladesh,national,mid-year estimate,Worldometer,United Nations World Population Prospects 2024 Revision,https://www.worldometers.info/world-population/bangladesh-population/,2026-08-06,descriptive_cross_check,"Worldometer presentation of UN data; retained for source comparison only."
2025,175686899,74837709,42.6,1350,Bangladesh,national,mid-year estimate,Worldometer,United Nations World Population Prospects 2024 Revision,https://www.worldometers.info/world-population/bangladesh-population/,2026-08-06,descriptive_cross_check,"Worldometer presentation of the UN medium-variant estimate; not used as an air-pollution predictor."
2026,177818044,76838908,43.2,1366,Bangladesh,national,mid-year estimate,Worldometer,United Nations World Population Prospects 2024 Revision,https://www.worldometers.info/world-population/bangladesh-population/,2026-08-06,descriptive_cross_check,"Current-year estimate outside the complete air-quality analysis window; not used in inferential models."
