month_start,year,month,month_name,season,pm25_mean,pm25_median,pm25_min,pm25_max,pm10_mean,pm10_median,pm10_min,pm10_max,no2_mean,no2_median,no2_min,no2_max,so2_mean,so2_median,so2_min,so2_max,co_mean,co_median,co_min,co_max,o3_mean,o3_median,o3_min,o3_max,aqi_mean,aqi_median,aqi_min,aqi_max,pm25_station_count,pm25_mean_data_capture_pct,pm25_unit_as_reported,pm25_unit_status,pm10_station_count,pm10_mean_data_capture_pct,pm10_unit_as_reported,pm10_unit_status,no2_station_count,no2_mean_data_capture_pct,no2_unit_as_reported,no2_unit_status,so2_station_count,so2_mean_data_capture_pct,so2_unit_as_reported,so2_unit_status,co_station_count,co_mean_data_capture_pct,co_unit_as_reported,co_unit_status,o3_station_count,o3_mean_data_capture_pct,o3_unit_as_reported,o3_unit_status,aqi_days_reported,aqi_calendar_days,aqi_coverage_pct,aqi_source_basis,pollutant_aggregation_basis,geography
2013-12-01,2013,12,December,Winter,181.0,,85.4,268.0,253.5,,110.0,499.0,138.35,,34.5,273.0,18.98,,3.82,50.2,2.52,,0.09,6.26,10.594999999999999,,0.58,36.6,,,,,1.0,98.0,ug/m3,resolved,2.0,98.0,ug/m3,resolved,2.0,97.5,ppb,resolved,2.0,98.0,ppb,resolved,2.0,96.0,ppm,resolved,2.0,98.5,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2014-01-01,2014,1,January,Winter,182.0,,122.0,307.0,256.0,,158.0,401.0,109.25,,20.2,224.0,19.61,,3.63,52.4,2.8,,0.1,10.4,10.0,,0.34,41.7,,,,,1.0,87.0,ug/m3,resolved,2.0,90.5,ug/m3,resolved,2.0,92.0,ppb,resolved,2.0,92.0,ppb,resolved,2.0,87.5,ppm,resolved,2.0,93.5,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2014-02-01,2014,2,February,Winter,139.0,,54.6,251.0,262.0,,101.0,401.0,114.275,,22.8,238.15,10.004999999999999,,2.62,21.8,1.985,,0.05,7.66,14.8,,1.11,55.2,,,,,2.0,80.0,ug/m3,resolved,3.0,69.0,ug/m3,resolved,2.0,83.5,ppb,resolved,2.0,85.5,ppb,resolved,2.0,80.5,ppm,resolved,1.0,90.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2014-03-01,2014,3,March,Pre-monsoon,95.15,,54.5,209.0,215.0,,108.0,484.0,111.0,,12.7,243.0,14.363333333333335,,0.54,39.3,2.2,,0.65,6.97,10.254999999999999,,1.03,56.1,,,,,2.0,74.5,ug/m3,resolved,2.0,77.0,ug/m3,resolved,2.0,75.0,ppb,resolved,3.0,75.0,ppb,resolved,1.0,99.0,ppm,resolved,2.0,94.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2014-04-01,2014,4,April,Pre-monsoon,80.15,,37.6,180.0,167.5,,90.6,363.0,41.3,,13.2,125.0,5.295,,1.43,20.4,1.75,,0.9,4.96,17.1,,0.87,75.4,,,,,2.0,90.0,ug/m3,resolved,2.0,83.5,ug/m3,resolved,1.0,85.0,ppb,resolved,2.0,94.5,ppb,resolved,1.0,96.0,ppm,resolved,1.0,96.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2014-05-01,2014,5,May,Pre-monsoon,41.85,,20.9,69.2,87.9,,53.8,125.0,25.5,,3.61,54.9,2.94,,1.44,6.06,1.67,,0.35,3.36,6.84,,1.19,37.9,,,,,2.0,87.0,ug/m3,resolved,2.0,89.5,ug/m3,resolved,1.0,91.0,ppb,resolved,2.0,52.5,ppb,resolved,2.0,59.5,ppm,resolved,2.0,69.5,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2014-06-01,2014,6,June,Monsoon,36.7,,15.1,59.2,59.53333333333333,,23.8,118.0,24.7,,10.3,38.1,2.92,,2.29,3.89,1.67,,0.32,6.79,7.0,,5.73,11.0,,,,,2.0,75.5,ug/m3,resolved,3.0,70.33333333333333,ug/m3,resolved,1.0,85.0,ppb,resolved,1.0,69.0,ppb,resolved,3.0,75.0,ppm,resolved,1.0,75.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2014-07-01,2014,7,July,Monsoon,22.549999999999997,,10.1,40.4,46.150000000000006,,19.8,69.5,17.3,,5.56,27.8,1.67,,0.17,3.85,0.8966666666666665,,0.29,4.51,6.48,,5.57,10.31,,,,,2.0,90.5,ug/m3,resolved,2.0,77.0,ug/m3,resolved,1.0,37.0,ppb,resolved,2.0,82.5,ppb,resolved,3.0,83.66666666666667,ppm,resolved,1.0,74.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2014-08-01,2014,8,August,Monsoon,25.3,,10.4,70.5,52.45,,26.7,97.6,11.8,,5.22,19.9,3.065,,0.88,8.45,0.7250000000000001,,0.33,1.63,,,,,,,,,2.0,85.0,ug/m3,resolved,2.0,62.5,ug/m3,resolved,1.0,89.0,ppb,resolved,2.0,91.0,ppb,resolved,2.0,86.0,ppm,resolved,0.0,,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2014-09-01,2014,9,September,Monsoon,35.400000000000006,,15.3,108.0,59.55,,28.0,172.0,21.75,,4.9,64.0,5.966666666666666,,1.82,13.5,0.9500000000000001,,0.12,3.62,6.74,,5.58,11.4,,,,,2.0,89.0,ug/m3,resolved,2.0,62.0,ug/m3,resolved,2.0,82.0,ppb,resolved,3.0,57.0,ppb,resolved,3.0,58.666666666666664,ppm,resolved,1.0,58.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2014-10-01,2014,10,October,Post-monsoon,53.13333333333333,,17.9,109.0,85.6,,26.6,155.0,41.8,,15.9,63.0,3.07,,2.46,4.12,1.98,,0.24,12.4,6.57,,5.46,11.5,,,,,3.0,77.33333333333333,ug/m3,resolved,2.0,87.0,ug/m3,resolved,1.0,51.0,ppb,resolved,1.0,91.0,ppb,resolved,1.0,89.0,ppm,resolved,1.0,97.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2014-11-01,2014,11,November,Post-monsoon,151.0,,41.4,282.0,240.5,,75.1,485.0,76.7,,7.86,148.0,2.39,,0.4,5.07,1.9249999999999998,,0.64,4.52,,,,,,,,,2.0,89.0,ug/m3,resolved,2.0,91.0,ug/m3,resolved,1.0,88.0,ppb,resolved,1.0,95.0,ppb,resolved,2.0,93.0,ppm,resolved,0.0,,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2014-12-01,2014,12,December,Winter,161.0,,99.9,273.0,253.0,,167.0,392.0,76.9,,11.9,135.0,3.365,,1.09,6.87,2.51,,0.52,9.59,6.41,,5.21,11.2,,,,,3.0,96.0,ug/m3,resolved,2.0,97.0,ug/m3,resolved,1.0,96.0,ppb,resolved,2.0,95.0,ppb,resolved,3.0,92.66666666666667,ppm,resolved,1.0,98.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2015-01-01,2015,1,January,Winter,153.33333333333334,,71.9,295.0,234.5,,113.0,428.0,58.3,,11.5,134.0,5.785,,1.82,14.5,2.3299999999999996,,0.29,9.7,5.94,,4.85,13.7,,,,,3.0,96.0,ug/m3,resolved,2.0,96.0,ug/m3,resolved,1.0,100.0,ppb,resolved,2.0,96.5,ppb,resolved,3.0,93.33333333333333,ppm,resolved,1.0,98.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2015-02-01,2015,2,February,Winter,127.33333333333333,,51.7,213.0,221.0,,100.0,370.0,58.4,,12.3,156.0,6.75,,1.8,15.8,3.31,,0.31,10.8,,,,,,,,,3.0,86.66666666666667,ug/m3,resolved,2.0,84.0,ug/m3,resolved,1.0,88.0,ppb,resolved,2.0,86.5,ppb,resolved,2.0,72.0,ppm,resolved,0.0,,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2015-03-01,2015,3,March,Pre-monsoon,102.36666666666667,,37.4,191.0,200.0,,75.4,362.0,56.3,,12.6,155.0,7.800000000000001,,1.6,16.4,4.385,,0.5,14.9,9.07,,5.26,18.5,,,,,3.0,84.0,ug/m3,resolved,2.0,90.0,ug/m3,resolved,1.0,94.0,ppb,resolved,2.0,90.0,ppb,resolved,2.0,85.0,ppm,resolved,1.0,89.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2015-04-01,2015,4,April,Pre-monsoon,50.76333333333333,,13.98,111.71,90.92500000000001,,46.44,195.47,14.81,,3.77,39.01,7.02,,5.33,11.27,3.185,,0.33,8.22,20.32,,6.23,45.05,,,,,3.0,91.0,ug/m3,resolved,2.0,88.5,ug/m3,resolved,1.0,92.0,ppb,resolved,1.0,94.0,ppb,resolved,2.0,74.0,ppm,resolved,1.0,93.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2015-05-01,2015,5,May,Pre-monsoon,44.800000000000004,,22.0,86.7,84.35,,44.8,126.0,10.8,,4.63,19.9,,,,,1.84,,0.16,9.86,13.700000000000001,,0.44,63.5,,,,,3.0,89.66666666666667,ug/m3,resolved,2.0,90.5,ug/m3,resolved,1.0,96.0,ppb,resolved,0.0,,ppb,resolved,2.0,77.0,ppm,resolved,2.0,98.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2015-06-01,2015,6,June,Monsoon,26.400000000000002,,10.3,64.2,50.0,,23.5,85.8,,,,,,,,,1.32,,0.1,5.02,,,,,,,,,3.0,90.33333333333333,ug/m3,resolved,2.0,80.0,ug/m3,resolved,0.0,,ppb,resolved,0.0,,ppb,resolved,2.0,81.0,ppm,resolved,0.0,,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2015-07-01,2015,7,July,Monsoon,27.26666666666667,,7.6,77.7,43.5,,17.1,70.2,,,,,,,,,1.275,,0.35,4.03,,,,,,,,,3.0,72.66666666666667,ug/m3,resolved,1.0,62.0,ug/m3,resolved,0.0,,ppb,resolved,0.0,,ppb,resolved,2.0,81.0,ppm,resolved,0.0,,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2015-08-01,2015,8,August,Monsoon,35.75,,16.7,49.2,54.699999999999996,,32.5,84.6,,,,,,,,,1.525,,0.23,4.29,4.89,,1.09,11.3,,,,,2.0,69.0,ug/m3,resolved,3.0,39.333333333333336,ug/m3,resolved,0.0,,ppb,resolved,0.0,,ppb,resolved,2.0,84.0,ppm,resolved,1.0,89.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2015-09-01,2015,9,September,Monsoon,54.05,,23.1,96.8,95.2,,12.9,212.0,,,,,54.199999999999996,,4.7,152.0,,,,,1.25,,0.56,7.06,,,,,2.0,92.0,ug/m3,resolved,2.0,70.5,ug/m3,resolved,0.0,90.5,,partly_or_fully_unresolved_in_summary_table,2.0,87.0,ppb,resolved,0.0,96.0,,partly_or_fully_unresolved_in_summary_table,2.0,95.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2015-10-01,2015,10,October,Post-monsoon,66.36666666666666,,15.3,124.0,114.15,,52.7,191.0,90.8,,14.8,246.0,1.42,,0.31,3.02,1.3966666666666667,,0.12,7.2,5.05,,0.46,24.1,,,,,3.0,82.0,ug/m3,resolved,2.0,52.0,ug/m3,resolved,2.0,94.5,ppb,resolved,1.0,95.0,ppb,resolved,3.0,82.33333333333333,ppm,resolved,1.0,89.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2015-11-01,2015,11,November,Post-monsoon,106.86666666666667,,24.4,206.0,213.66666666666666,,44.9,479.0,145.8,,27.3,266.0,5.6,,1.5,16.5,1.9433333333333334,,0.07,10.0,3.39,,0.51,22.7,,,,,3.0,77.0,ug/m3,resolved,3.0,67.33333333333333,ug/m3,resolved,2.0,89.0,ppb,resolved,1.0,94.0,ppb,resolved,3.0,78.0,ppm,resolved,2.0,91.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
