report_month,station_label_as_reported,parameter,parameter_as_reported,statistic_as_reported,value_as_reported,value,unit,is_missing,page_number,table_number,extraction_method,source_url,source_sha256
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,NO2,NO2 -24 hr,Max,57.95,57.95,ppb,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,NO2,NO2 -24 hr,Min,26.35,26.35,ppb,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,O3,O3 -8 hr,%Data capture,42.51,42.51,percent,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,O3,O3 -8 hr,Average,13.61,13.61,ppb,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,O3,O3 -8 hr,Excedance hr,0.00,0.0,ppb,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,O3,O3 -8 hr,Max,48.76,48.76,ppb,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,O3,O3 -8 hr,Min,3.86,3.86,ppb,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,PM10,PM10 -24 hr,%Data capture,97.61,97.61,percent,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,PM10,PM10 -24 hr,Average,339.39,339.39,µg /m3,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,PM10,PM10 -24 hr,Excedance Days,31.00,31.0,days,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
