month,count,mean,median,std,ci_low,ci_high
1,7,200.52942857142858,208.339,22.032225571172948,180.15301842594528,220.9058387169119
2,7,165.54442857142857,165.625,11.263207519132713,155.12769898493488,175.96115815792226
3,6,124.30799999999999,124.03200000000001,15.526059938052539,108.01439935384641,140.60160064615357
4,6,74.70483333333333,75.305,17.44071088478525,56.401929745717865,93.00773692094879
5,5,61.6278,65.2,8.693684702127173,50.833164693633854,72.42243530636614
6,6,43.88316666666666,43.84,10.475349796864382,32.889961249460015,54.87637208387331
7,5,31.3302,32.355,3.0520307501727424,27.540603296099672,35.11979670390033
8,6,36.488499999999995,35.647999999999996,11.249343958649323,24.68303752434482,48.29396247565517
9,5,42.458600000000004,44.963,7.27080454970425,33.430703752656086,51.48649624734392
10,6,68.98316666666666,68.9985,9.423261800813279,59.0940598888228,78.87227344451053
11,6,108.69816666666667,108.7975,13.327634199912096,94.7116723417823,122.68466099155103
12,6,170.37316666666666,172.5515,21.37690611306198,147.9394795209091,192.80685381242424
