month_start,target,unit,model,forecast,lower_95,upper_95,forecast_type
2025-03-01,pm25,ug/m3,sarima,129.37812639977514,93.33443407415061,179.1935423723885,empirical 24-month forecast
2025-04-01,pm25,ug/m3,sarima,100.8503017254905,72.30785366366408,140.50576566007408,empirical 24-month forecast
2025-05-01,pm25,ug/m3,sarima,73.53402362001162,52.521299753402964,102.79644557558105,empirical 24-month forecast
2025-06-01,pm25,ug/m3,sarima,55.433559273138194,39.481186922594134,77.67226369435502,empirical 24-month forecast
2025-07-01,pm25,ug/m3,sarima,35.30979618016387,25.0335938292193,49.642308829651874,empirical 24-month forecast
2025-08-01,pm25,ug/m3,sarima,52.762545096701544,37.53873734241825,74.00015450930441,empirical 24-month forecast
2025-09-01,pm25,ug/m3,sarima,49.73699112864286,35.36642164293166,69.78624050679252,empirical 24-month forecast
2025-10-01,pm25,ug/m3,sarima,84.79886092086417,60.494817916540924,118.70837193645393,empirical 24-month forecast
2025-11-01,pm25,ug/m3,sarima,120.00503942057287,85.72652431083367,167.83208086024177,empirical 24-month forecast
2025-12-01,pm25,ug/m3,sarima,188.5716363248816,134.8682559017101,263.50185188872246,empirical 24-month forecast
2026-01-01,pm25,ug/m3,sarima,227.458496046267,162.73827881527515,317.7604315457912,empirical 24-month forecast
2026-02-01,pm25,ug/m3,sarima,179.28269941916477,128.2100149693359,250.54282133296132,empirical 24-month forecast
2026-03-01,pm25,ug/m3,sarima,130.34963585628347,91.67779010327436,185.1581595801206,empirical 24-month forecast
2026-04-01,pm25,ug/m3,sarima,93.26678316146942,65.47833394847868,132.6710154995521,empirical 24-month forecast
2026-05-01,pm25,ug/m3,sarima,73.48372098890141,51.5147370725461,104.64319658857877,empirical 24-month forecast
2026-06-01,pm25,ug/m3,sarima,52.41412874886397,36.65564917658747,74.76736060559331,empirical 24-month forecast
2026-07-01,pm25,ug/m3,sarima,37.16443230576368,25.903706131463686,53.13841074920994,empirical 24-month forecast
2026-08-01,pm25,ug/m3,sarima,42.87169248281018,29.926327928014388,61.23582074749858,empirical 24-month forecast
2026-09-01,pm25,ug/m3,sarima,50.395955947220905,35.230030697689706,71.91035190586013,empirical 24-month forecast
2026-10-01,pm25,ug/m3,sarima,84.94521415481368,59.58422405326074,120.9224963519068,empirical 24-month forecast
2026-11-01,pm25,ug/m3,sarima,125.47386187294995,88.15337187522638,178.41708093154955,empirical 24-month forecast
2026-12-01,pm25,ug/m3,sarima,205.86994010428378,144.82567474046232,292.46802060004836,empirical 24-month forecast
2027-01-01,pm25,ug/m3,sarima,236.0375512357656,166.09120189247793,335.26426801336936,empirical 24-month forecast
2027-02-01,pm25,ug/m3,sarima,186.4203693155671,131.11530794329445,264.87679642286605,empirical 24-month forecast
